,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,,Puerto Rico,
Label,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error
Total:,"592,927","±12,136","87,443","±3,493","919,931","±14,039","395,946","±7,521","5,906,458","±34,788","758,776","±10,471","471,320","±9,219","106,526","±4,571","165,936","±4,411","2,661,116","±24,600","1,376,577","±15,458","189,945","±5,617","187,354","±6,717","1,654,751","±16,516","807,420","±11,150","364,122","±7,753","383,587","±7,870","564,984","±10,983","599,696","±11,233","164,081","±5,651","733,266","±11,942","1,003,582","±12,125","1,139,982","±13,162","626,513","±8,243","352,435","±9,380","808,952","±10,736","140,403","±5,561","259,824","±5,116","488,259","±7,615","152,470","±5,181","1,170,619","±12,338","268,744","±6,808","3,413,230","±20,193","1,398,558","±16,379","119,888","±4,888","1,599,221","±15,627","513,320","±8,077","615,117","±9,709","1,592,286","±14,831","155,219","±5,238","592,505","±12,606","110,962","±4,183","879,156","±13,188","3,742,001","±25,752","294,908","±7,126","72,575","±3,626","1,082,319","±13,343","1,076,587","±12,122","202,029","±6,481","779,520","±9,259","68,440","±3,943","385,846","±8,055"
With cash rent:,"528,763","±11,878","79,691","±3,403","874,407","±13,489","362,008","±7,467","5,731,188","±35,763","735,732","±10,009","453,547","±9,092","102,132","±4,701","163,373","±4,293","2,554,160","±23,813","1,300,101","±16,001","177,434","±5,581","176,153","±6,972","1,586,781","±16,765","763,759","±10,953","340,900","±7,628","360,608","±7,532","512,797","±11,104","541,268","±10,534","152,962","±5,612","707,790","±11,863","967,686","±12,109","1,081,893","±13,299","600,671","±8,255","313,104","±8,667","761,695","±10,979","127,412","±5,145","243,850","±5,273","476,140","±7,958","148,143","±5,014","1,137,834","±12,489","242,498","±6,607","3,299,280","±21,564","1,310,250","±16,094","113,486","±4,810","1,517,398","±14,710","469,593","±7,508","592,023","±9,590","1,503,281","±14,949","149,799","±4,955","538,418","±12,001","102,447","±4,101","817,756","±13,175","3,553,379","±25,095","283,023","±6,995","68,404","±3,468","1,028,053","±13,699","1,034,229","±12,064","169,267","±5,931","747,782","±9,481","62,536","±4,121","234,840","±6,354"
Less than $100,"1,909",±799,263,±219,"1,169",±489,798,±463,"9,375","±1,610","3,147",±917,"2,159",±733,454,±437,"1,106",±797,"3,190",±975,"3,567","±1,167",756,±589,879,±656,"6,314","±1,452","3,262","±1,119","1,084",±505,788,±476,"3,301",±901,"1,166",±704,438,±325,"2,537",±984,"4,878","±1,162","3,530",±922,"3,159",±798,648,±426,"1,263",±517,991,±500,618,±291,457,±291,216,±194,"3,721","±1,109",350,±257,"4,850","±1,149","5,007","±1,370",372,±219,"10,410","±1,895","1,575",±482,"1,109",±477,"7,591","±1,338",600,±405,"1,245",±534,556,±314,"4,997","±1,288","9,713","±1,715",318,±348,146,±189,"3,643","±1,071","2,229",±717,851,±558,"1,339",±559,119,±134,"10,289","±1,696"
$100 to $149,"2,109",±570,287,±241,642,±403,"1,640",±674,"6,599","±1,431","1,431",±712,"1,059",±528,379,±479,"1,630",±619,"3,079",±912,"3,927","±1,333",670,±348,274,±231,"6,064","±1,199","2,881","±1,216","1,779",±977,722,±298,"1,780",±784,"3,716","±1,068",461,±296,"3,446",±869,"5,708","±1,552","2,706",±802,"2,400",±922,"1,810",±786,"1,842",±842,433,±244,474,±272,"1,040",±545,157,±186,"3,288",±956,818,±504,"9,061","±1,884","3,232",±922,183,±102,"7,351","±1,590","1,684",±524,"1,250",±605,"5,930","±1,339",205,±227,"2,145",±851,570,±255,"2,373",±934,"6,373","±1,561",437,±389,0,±157,"3,523","±1,296","1,360",±660,622,±350,"1,072",±431,478,±435,"11,124","±1,730"
$150 to $199,"4,587","±1,063",61,±71,"2,060",±836,"3,910","±1,246","10,145","±1,732","3,413","±1,083","3,405","±1,084",883,±394,"1,133",±505,"12,705","±1,694","9,005","±1,872","1,002",±417,"1,059",±620,"11,765","±1,985","5,188","±1,186","1,725",±707,"2,103",±863,"4,980","±1,267","4,500","±1,123","1,114",±483,"4,837","±1,402","5,948","±1,617","8,243","±1,380","4,786","±1,434","4,568","±1,316","3,448",±879,"1,218",±534,"1,882",±656,"1,005",±489,"1,292",±784,"9,800","±1,811","2,863","±1,051","17,679","±2,528","6,266","±1,303",478,±319,"10,841","±1,468","3,049",±878,"2,687","±1,076","10,086","±1,632","1,715",±706,"4,090","±1,251","1,115",±530,"5,196","±1,032","14,318","±2,101",846,±502,56,±71,"6,089","±1,348","5,107","±1,286","2,302",±749,"3,020",±603,369,±342,"10,847","±1,874"
$200 to $249,"13,962","±1,639",204,±103,"8,809","±1,432","9,841","±1,690","32,886","±3,100","10,885","±2,300","12,523","±2,102","1,936",±861,"3,797","±1,040","23,588","±2,812","14,968","±2,237","2,911",±768,"2,618",±698,"27,186","±2,739","12,298","±1,946","6,236","±1,107","5,402","±1,085","14,225","±1,729","10,563","±1,747","5,667","±1,311","12,058","±1,827","19,070","±2,268","25,658","±2,550","13,150","±1,880","6,655","±1,560","14,452","±2,127","2,360",±779,"3,963",±815,"2,461",±690,"1,669",±666,"19,922","±2,437","5,787","±1,233","77,901","±5,088","17,043","±2,085","1,483",±599,"37,158","±3,296","7,436","±1,084","9,319","±1,764","31,316","±2,668","9,204","±1,691","7,923","±1,956","1,750",±672,"18,457","±2,515","36,980","±3,725","3,837","±1,056","1,710",±677,"11,572","±1,731","12,852","±1,749","5,302","±1,065","11,269","±1,610","1,988",±849,"8,960","±1,539"
$250 to $299,"13,764","±2,138",423,±168,"4,698","±1,280","8,161","±1,598","68,943","±4,211","7,761","±1,788","7,087","±1,324",858,±407,"2,060",±745,"20,373","±3,211","15,021","±2,292","1,321",±554,"2,202",±768,"20,670","±2,352","8,889","±1,500","4,547",±943,"3,779",±993,"10,202","±1,659","10,821","±1,721","3,988","±1,199","8,596","±1,793","29,480","±3,034","17,680","±2,154","12,266","±1,617","7,654","±1,723","10,775","±1,666","1,768",±597,"2,806",±809,"1,162",±451,"2,830","±1,056","14,437","±1,944","4,287","±1,094","59,234","±4,679","18,821","±2,400","1,939",±642,"21,040","±2,587","6,763","±1,098","5,852","±1,393","21,158","±2,419","3,297","±1,059","8,412","±1,490","1,896",±528,"12,098","±1,926","29,630","±2,895","2,255",±674,"1,322",±618,"10,560","±2,017","7,820","±1,388","3,912",±975,"11,281","±1,636",839,±692,"11,723","±1,906"
$300 to $349,"10,513","±1,735",714,±347,"5,544","±1,298","6,960","±1,058","38,907","±3,910","6,008","±1,516","7,944","±1,622","2,042",±771,"1,542",±700,"20,093","±2,365","15,793","±2,408","2,360",±701,"3,267","±1,116","20,448","±2,446","9,716","±1,517","5,615","±1,006","4,306",±883,"8,875","±1,521","10,658","±1,725","3,875",±912,"8,095","±1,493","21,472","±2,573","17,383","±2,114","9,211","±1,607","7,154","±1,434","14,946","±2,114","2,378",±871,"3,460",±645,"2,890",±883,"3,077",±848,"11,399","±1,874","4,024","±1,162","53,150","±4,239","16,550","±2,304","1,542",±592,"22,784","±2,649","6,859","±1,096","5,469","±1,347","22,376","±2,389","3,016",±884,"6,694","±1,385","2,021",±544,"11,830","±2,004","27,199","±2,596","2,481",±883,"1,835",±623,"11,075","±1,616","7,919","±1,389","3,850","±1,066","12,216","±1,921","1,134",±539,"15,800","±1,918"
$350 to $399,"11,603","±1,653",913,±402,"5,983","±1,314","8,865","±1,916","33,732","±3,274","5,430","±1,502","5,297","±1,223",285,±187,"1,965",±870,"17,711","±2,358","17,714","±2,464",735,±448,"2,416","±1,030","21,001","±2,670","11,402","±1,686","8,891","±1,394","6,674","±1,250","9,511","±1,756","9,960","±1,934","4,421","±1,284","6,850","±1,547","18,684","±2,420","15,512","±2,117","9,426","±1,332","4,675",±922,"14,844","±1,980","2,530",±803,"3,704",±877,"1,613",±663,"2,327",±655,"7,880","±1,613","4,858","±1,058","43,667","±3,866","18,212","±2,396","1,866",±616,"25,495","±2,372","7,454","±1,260","3,940","±1,117","25,599","±2,782","1,682",±762,"8,955","±1,670","2,929",±823,"14,108","±2,046","32,553","±3,273","2,105",±687,"1,670",±846,"8,889","±1,855","9,628","±1,738","5,361","±1,102","9,793","±1,458","1,070",±452,"15,816","±2,280"
