month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
201812,south carolina,sc,270000,-0.002,0.0425,29272,-0.0356,-0.0018,95,0.0857,0.0215,5564,-0.2732,-0.1049,1144,0.1532,0.1626,5920,-0.2633,0.2221,8344,-0.11,0.0391,134,0.0049,0.0755,2001,-0.0055,-0.0084,402945,-0.0044,0.0483,37616,-0.0535,0.007,0.2851,-0.0238,0.0112,0
201812,new hampshire,nh,322900,0.0014,0.0799,5442,-0.151,-0.0407,95,0.1446,-0.0952,1040,-0.2954,0.04,56,-0.0667,-0.0667,760,-0.4865,0.2667,1440,-0.2604,-0.2433,162,0.0062,0.0626,1982,-0.009,0.0112,423377,-0.004,0.0461,6882,-0.1765,-0.0916,0.2646,-0.0391,-0.0708,0
201812,florida,fl,325000,0,0.0156,156299,0.0182,0.1179,80,0.0323,-0.0123,38004,-0.1576,0.018,4492,-0.0149,-0.2024,44284,-0.1175,0.1251,41203,-0.0738,-0.0786,180,0.0055,0.0294,1760,-0.0096,-0.0195,631230,0.0081,0.0028,198104,-4.00E-04,0.0746,0.2636,-0.0262,-0.0562,0
201812,district of columbia,dc,599900,-0.0362,0.0433,1491,-0.1906,0.1194,52,0.2683,0.0196,544,-0.3398,0.0625,36,0,0.8,388,-0.3782,0.3108,321,-0.0418,-0.0559,498,-0.0259,-0.0852,1422,0.0471,0.2344,931774,0.0283,-0.0199,1826,-0.1612,0.0921,0.2153,0.0334,-0.04,0
201812,north dakota,nd,232990,-0.0081,0.0145,3546,-0.078,0.0281,101,0.1676,0.0202,396,-0.3813,-0.0388,20,-0.6429,-0.5,436,-0.3588,0.101,141,-0.1402,0,111,-0.0043,0.0113,2142,-0.0072,0.0104,276041,-0.0086,0.0453,3676,-0.0833,0.0228,0.0398,-0.0029,-0.0011,0
201812,alaska,ak,279900,-0.0039,0.0371,3019,-0.0953,-0.0173,113,0.13,0.0463,380,-0.2636,-0.1667,16,0,-0.3333,408,-0.427,-0.1207,3,2,2,167,0.0038,0.0256,1721,-0.0126,0.0214,323034,-0.0015,0.0187,3022,-0.0947,-0.0163,0.001,7.00E-04,7.00E-04,0
201812,idaho,id,330000,3.00E-04,0.1004,7796,-0.1042,-0.1005,79,0.1127,-0.1413,1668,-0.3186,-0.0733,216,-0.0182,0.3846,1216,-0.4074,0.1386,386,-0.1126,0.1254,160,0.0049,0.129,2160,7.00E-04,-0.0159,532695,0.0219,0.0564,8182,-0.1054,-0.0919,0.0495,-5.00E-04,0.0099,0
201812,nebraska,ne,227000,-0.0042,0.081,5207,-0.1004,0.128,66,0.2336,0.0154,1332,-0.3521,-0.1995,64,0,0.3333,716,-0.4458,-0.011,946,-0.1092,-0.6302,119,0.0106,0.0774,1850,-0.0112,0,279059,-1.00E-04,0.0223,6153,-0.1019,-0.1423,0.1817,-0.0018,-0.3725,0
201812,ohio,oh,168000,-0.0112,0.1207,32705,-0.0906,-0.033,73,0.1496,-0.0641,9128,-0.2837,0.0178,368,-0.0417,-0.6151,7628,-0.332,-0.0638,13088,-0.1691,-0.065,94,-0.0087,0.0317,1768,-0.015,0.0741,245485,-0.0133,0.0678,45793,-0.1145,-0.0424,0.4002,-0.0378,-0.0137,0
201812,georgia,ga,279900,-0.016,0.0448,68748,-0.0325,0.122,74,0.1212,-0.0133,17688,-0.1975,0.182,3216,-0.044,-0.0884,16976,-0.239,0.1766,21989,-0.1195,0.7901,115,0.0019,0.0661,2357,-0.0109,-0.0038,388459,-0.0081,0.0454,90737,-0.0567,0.2336,0.3198,-0.0316,0.1194,0
