January - December 2018 Contiguous U.S. Statewide Average Temperature,,,,,
Units: Degrees Fahrenheit,,,,,
Missing: -99,Rank out of 127 Years,,,,
Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
100,Alabama,64.5,113,1.4,63.1
200,Arizona,62.3,125,2.9,59.4
300,Arkansas,61.2,96,0.8,60.4
400,California,60.1,122,2.7,57.4
500,Colorado,47.2,119,2.6,44.6
600,Connecticut,50.8,116,2.7,48.1
700,Delaware,57.1,116,3,54.1
800,Florida,72.3,120,2.2,70.1
900,Georgia,65.1,117,1.7,63.4
1000,Idaho,44.5,117,1.9,42.6
1100,Illinois,52.5,89,0.9,51.6
1200,Indiana,52.6,99,1.3,51.3
1300,Iowa,47.5,57,0,47.5
1400,Kansas,54.6,80,0.5,54.1
1500,Kentucky,57,108,1.5,55.5
1600,Louisiana,67.8,117,1.4,66.4
1700,Maine,41.8,108,1.7,40.1
1800,Maryland,55.9,114,2.2,53.7
1900,Massachusetts,49.5,113,2.5,47
2000,Michigan,45.1,102,1.5,43.6
2100,Minnesota,40.6,75,0.5,40.1
2200,Mississippi,64.8,108,1.1,63.7
2300,Missouri,55.2,92,0.7,54.5
2400,Montana,41.3,62,0.1,41.2
2500,Nebraska,48.3,62,-0.1,48.4
2600,Nevada,52,119,2.5,49.5
2700,New Hampshire,44.4,111,2.1,42.3
2800,New Jersey,54.2,114,2.7,51.5
2900,New Mexico,55.5,124,2.7,52.8
3000,New York,46.2,108,1.7,44.5
3100,North Carolina,60.4,116,1.9,58.5
3200,North Dakota,39.8,66,0.1,39.7
3300,Ohio,52.2,106,1.8,50.4
3400,Oklahoma,60.2,86,0.5,59.7
3500,Oregon,48.4,118,2,46.4
3600,Pennsylvania,49.8,108,1.6,48.2
3700,Rhode Island,51.6,119,3,48.6
3800,South Carolina,64.3,119,1.9,62.4
3900,South Dakota,44.1,48,-0.4,44.5
4000,Tennessee,59.1,110,1.4,57.7
4100,Texas,66,112,1.4,64.6
4200,Utah,50.4,121,2.9,47.5
4300,Vermont,43.2,109,1.9,41.3
4400,Virginia,56.6,114,1.8,54.8
4500,Washington,48,114,1.9,46.1
4600,West Virginia,53.3,113,1.7,51.6
4700,Wisconsin,43.2,88,0.8,42.4
4800,Wyoming,42.4,103,1.7,40.7
4900,Alaska,30.4,95,4.4,26
5000,Hawaii,78.1,,,
