January - December 2018 Contiguous U.S. Statewide Precipitation,,,,,
Units: Inches,,,,,
Missing: -99,Rank out of 127 Years,,,,
Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
100,Alabama,64.4,109,9.15,55.25
200,Arizona,11.67,59,-0.95,12.62
300,Arkansas,64.32,119,14.71,49.61
400,California,18.09,35,-4.3,22.39
500,Colorado,14.96,15,-3.16,18.12
600,Connecticut,62.16,123,15.29,46.87
700,Delaware,60.02,126,16.67,43.35
800,Florida,60.52,111,6.87,53.65
900,Georgia,60.8,118,10.73,50.07
1000,Idaho,21.88,40,-1.99,23.87
1100,Illinois,45.79,115,8.32,37.47
1200,Indiana,50.03,123,10.3,39.73
1300,Iowa,45.08,126,12.99,32.09
1400,Kansas,31.85,106,4.79,27.06
1500,Kentucky,63.74,126,16.8,46.94
1600,Louisiana,66.39,107,9.5,56.89
1700,Maine,46.45,98,4.47,41.98
1800,Maryland,64.62,127,22.03,42.59
1900,Massachusetts,61.03,127,16.38,44.65
2000,Michigan,36.17,116,5.04,31.13
2100,Minnesota,30.08,112,4.1,25.98
2200,Mississippi,66.81,113,11.34,55.47
2300,Missouri,43,83,2.5,40.5
2400,Montana,19.98,81,1.33,18.65
2500,Nebraska,29.22,121,6.58,22.64
2600,Nevada,9.27,45,-1.03,10.3
2700,New Hampshire,51.8,117,8.36,43.44
2800,New Jersey,64.76,127,19.8,44.96
2900,New Mexico,12.72,41,-1.27,13.99
3000,New York,48.58,120,8.29,40.29
3100,North Carolina,68.35,127,19.02,49.33
3200,North Dakota,17.77,68,0.43,17.34
3300,Ohio,50.93,125,12.64,38.29
3400,Oklahoma,41.01,113,7.17,33.84
3500,Oregon,25.41,13,-6.81,32.22
3600,Pennsylvania,64.04,127,22.06,41.98
3700,Rhode Island,63.18,126,18.03,45.15
3800,South Carolina,57.3,117,9.41,47.89
3900,South Dakota,23.25,110,4.18,19.07
4000,Tennessee,67.14,127,15.5,51.64
4100,Texas,33.72,115,6.64,27.08
4200,Utah,11.58,35,-1.98,13.56
4300,Vermont,47.07,102,5.34,41.73
4400,Virginia,63.53,127,20.59,42.94
4500,Washington,41.32,54,-0.71,42.03
4600,West Virginia,65.1,127,20.44,44.66
4700,Wisconsin,39.74,125,8.45,31.29
4800,Wyoming,16.12,65,0.18,15.94
4900,Alaska,37.9,54,1.2,36.7
5000,Hawaii,16.93,,,
