State,2018_population,state_abbreviation,count_public_court_locations,public_courts_per_10000_people,public_courts_rank,Well-Being Index,Well-Being Index Rank,Career,Social,Financial,Community,Physical,well_being_public_tennis_rank_delta
Rhode Island,1061712,ri,372,3.50378,3,61.3,29,15,22,43,26,34,26
Delaware,971180,de,299,3.07873,7,61.3,30,9,24,38,49,18,23
Minnesota,5628162,mn,2123,3.7721,2,61.7,21,21,23,22,12,25,19
Nevada,3056824,nv,705,2.30632,11,61.5,27,30,28,23,29,23,16
Vermont,623960,vt,24,0.38464,35,59.8,45,37,42,46,44,43,10
Massachusetts,6895917,ma,2336,3.38751,4,62.2,14,22,10,27,39,9,10
Alaska,738068,ak,42,0.56905,32,60.3,41,31,41,30,33,44,9
Missouri,6135888,mo,1542,2.51308,8,62,17,35,7,19,18,13,9
South Dakota,877790,sd,17,0.19367,39,58.9,47,27,48,49,45,47,8
Colorado,5684203,co,1136,1.99852,13,61.8,20,13,5,36,21,16,7
Wyoming,573720,wy,10,0.1743,42,58.8,48,47,47,42,32,49,6
Utah,3159345,ut,531,1.68073,20,61.5,26,25,39,15,10,36,6
Nebraska,1932549,nb,38,0.19663,38,60.3,42,43,43,35,46,29,4
New Hampshire,1350575,nh,58,0.42945,34,60.6,38,36,36,31,36,39,4
Michigan,9991177,mi,3086,3.08873,6,62.7,10,7,31,3,7,33,4
Oregon,4199563,or,725,1.72637,19,61.7,23,17,15,40,28,21,4
North Dakota,755238,nd,9,0.11917,46,58.7,49,49,50,50,38,46,3
Connecticut,3588683,ct,588,1.63848,22,61.5,25,40,44,16,42,12,3
New York,19862512,ny,8460,4.25928,1,63.5,4,4,19,17,2,7,3
Montana,1062330,mt,8,0.07531,48,57,50,50,49,48,50,50,2
Maine,1341582,me,20,0.14908,44,59.5,46,44,45,44,30,45,2
Hawaii,1426393,hi,91,0.63797,31,61.1,33,34,33,25,31,30,2
New Jersey,9032872,nj,788,0.87237,29,61.2,31,41,9,28,40,19,2
New Mexico,2090708,nm,33,0.15784,43,59.9,44,18,37,45,17,48,1
Idaho,1753860,id,84,0.47894,33,60.9,34,42,26,24,34,35,1
Illinois,12768320,il,4114,3.22204,5,63.4,6,11,6,10,11,2,1
West Virginia,1803077,ne,63,0.3494,36,60.8,36,33,27,39,20,38,0
Kansas,2918515,ks,51,0.17475,41,60.6,39,19,34,37,25,41,-2
Iowa,3160553,ia,75,0.2373,37,60.9,35,28,46,29,27,37,-2
Arizona,7123898,az,1331,1.86836,16,62.5,13,24,20,7,24,11,-3
Maryland,6079602,md,1013,1.66623,21,61.9,18,10,30,20,16,26,-3
Ohio,11694664,oh,2796,2.39083,10,63.3,7,14,3,9,5,6,-3
Oklahoma,3940521,ok,366,0.92881,28,61.5,24,39,40,14,14,28,-4
Kentucky,4472265,ky,450,1.0062,27,61.7,22,23,38,33,3,32,-5
Wisconsin,5818049,wi,940,1.61566,24,61.9,19,16,17,11,37,31,-5
Alabama,4888949,al,33,0.0675,49,60,43,20,12,47,48,42,-6
North Carolina,10390149,nc,2032,1.9557,15,62.7,9,6,21,12,6,27,-6
Washington,7530552,wa,1310,1.73958,18,62.5,12,12,32,8,8,20,-6
Pennsylvania,12823989,pa,2717,2.11869,12,63.4,5,2,4,13,9,14,-7
Louisiana,4682509,la,59,0.126,45,60.8,37,46,29,41,43,22,-8
South Carolina,5088916,sc,93,0.18275,40,61.2,32,32,14,18,47,24,-8
California,39776830,ca,9658,2.42805,9,64.6,1,1,1,1,4,4,-8
Arkansas,3020327,ar,13,0.04304,50,60.6,40,29,35,34,35,40,-10
Indiana,6699629,in,831,1.24037,26,62.1,16,38,16,21,41,5,-10
Texas,28704330,tx,5621,1.95824,14,64.2,2,3,18,6,1,3,-12
Florida,21312211,fl,3833,1.7985,17,63.9,3,5,8,2,23,1,-14
Virginia,8525660,va,1256,1.4732,25,62.7,11,45,13,5,13,8,-14
Georgia,10545138,ga,1705,1.61686,23,62.9,8,26,2,4,22,10,-15
Tennessee,6782564,tn,557,0.82122,30,62.1,15,8,11,26,15,17,-15
Mississippi,2982785,ms,33,0.11063,47,61.4,28,48,25,32,19,15,-19
